,name,psnr,ssim
0,test004,28.24957826536859,0.8531461400920636
1,test012,26.531534206190802,0.8204788152521766
2,test007,26.487006567066246,0.8413240125584593
3,test003,27.160061026379672,0.8487466502106006
4,test006,29.882757375817185,0.8779902320730917
5,test008,24.472541708578838,0.7897181059092904
6,test011,25.62480176920434,0.8413315833471198
7,test013,27.662033354660768,0.8388578649911567
8,test014,27.94035829480233,0.8361705341805377
9,test001,24.297384762775756,0.7695126780451037
10,test009,27.01640562595017,0.8447236929887451
11,test010,27.737300129178383,0.838786125150711
12,test005,25.849056866999277,0.8221414494635506
13,test002,27.702895723283312,0.8567715978188651
14,Average,26.90097969116112,0.8342642487201052
